mjd,filter,file,magnitude,mag_err,zp_mean,zp_std,n_zp,sep_arcsec
60047.0,I,2023azx_I_1-2_1,17.838662341574494,0.021976008872125,-3.1076968946461716,0.02554025210702519,103,0.7251820747584212
60047.0,R,2023azx_R_1-2_1,18.017465442381717,0.0137788185366651,-2.690569866713651,0.027347333540791753,103,0.7459239930907602
60047.0,R,2023azx_R_1-2_2,18.074594144575528,0.0143691442166745,-2.6967478987593116,0.02803064810347091,103,0.8264330076157019
60047.0,V,2023azx_V_1-2_1,18.444460840476257,0.0210927277502311,-3.032004548556604,0.03213461793780559,105,0.8050404820285593
60047.0,B,2023azx_B_1-2_2,19.22966506389335,,-3.6233690048431426,0.05419057926615092,97,0.607946748335976
60047.0,B,2023azx_B_1-2_1,19.207065235959206,0.0356545746734297,-3.5948252964150735,0.05113355290708705,97,0.6173222696510642
60047.0,V,2023azx_V_1-2_2,18.502535121202165,0.0224878496524606,-3.0477125358131056,0.03292529064799606,105,0.705079076627077
60062.0,I,SN2023azx_I_01_02_1,17.73995140373178,0.0329110184906448,-3.3531445871874306,0.02744676773768291,105,0.7545001094338456
60062.0,R,SN2023azx_R_01_02_2,18.079640909273486,0.0295051355803281,-2.9707925882496045,0.029487942351871323,105,0.7013821529228909
60062.0,I,SN2023azx_I_01_02_2,17.782887676700675,0.0349406492147025,-3.3592981319106077,0.04209021904708713,106,0.6552044924599586
60062.0,V,SN2023azx_V_01_02_2,inf,,-3.4220649145483084,0.04639930579184557,104,0.719633595347387
60062.0,R,SN2023azx_R_01_02_1,18.162801842213682,0.0363933391383345,-3.0258012745581335,0.03173287639210398,107,0.6570701849216977
60084.0,I,SN2023azx_I_1,17.718974327420288,0.0295502080095889,-3.4827974467927816,0.03534025694761562,106,0.7947374549132241
60084.0,B,SN2023azx_B_1,18.66263710854285,1.764018722846754,-4.075998237754168,0.060280860110856156,94,0.5020308189465086
60084.0,B,SN2023azx_B_2,19.29070966021079,0.0558291689431652,-4.09742064885475,0.05873107432307458,94,0.42589808758611836
60084.0,V,SN2023azx_V_1,18.534878918074444,0.032066745800216,-3.4524501992526213,0.041741779993934885,107,0.7123273238217741
60084.0,V,SN2023azx_V_2,18.500299178439562,0.0351127372157364,-3.442127481652625,0.04097235004126482,107,0.7880677737110056
60084.0,R,SN2023azx_R_1,18.006277533691346,0.0175651492514913,-3.0648849666224556,0.03197486902655025,105,0.6323721919419387
60084.0,R,SN2023azx_R_2,18.044697362661303,0.018153146106899,-3.0324485990342267,0.03257045041955052,106,0.6305865046546612
60084.0,I,SN2023azx_I_2,17.715894029878715,0.0285963224224514,-3.467528166126653,0.03237445811199904,105,0.589079902840703
