mjd,magnitude,error,filter,file
60458.0,16.884882608538113,0.05954123963881182,V,photometry_SN2024gy_V_01-02_2.fits.csv
60322.0,12.836865440011293,0.07464078986241743,R,photometry_SN2024gy_R_01_02_1.fits.csv
60322.0,12.833161548030471,0.07464078986241743,R,photometry_SN2024gy_R_01_02_1.fits.csv
60322.0,12.84025886449945,0.07175574606336253,R,photometry_SN2024gy_R_01_02_2.fits.csv
60322.0,12.837695298944226,0.07175574606336253,R,photometry_SN2024gy_R_01_02_2.fits.csv
60347.0,13.287328415162797,0.033801859261222554,R,photometry_SN2024gy_R_01_02_1.fits.csv
60347.0,13.284023036239784,0.033801859261222554,R,photometry_SN2024gy_R_01_02_1.fits.csv
60347.0,13.318835535686702,0.1105159777790358,R,photometry_SN2024gy_R_01_02_2.fits.csv
60347.0,13.315298633746993,0.1105159777790358,R,photometry_SN2024gy_R_01_02_2.fits.csv
60347.0,13.316099711879971,0.1105159777790358,R,photometry_SN2024gy_R_01_02_2.fits.csv
60356.0,13.520876880074889,0.058952777450393526,R,photometry_SN2024gy_R_60sec_2_2.fits.csv
60356.0,13.525032578244295,0.058952777450393526,R,photometry_SN2024gy_R_60sec_2_2.fits.csv
60356.0,13.52912419036686,0.0621644653198504,R,photometry_SN2024gy_R_60sec_2_1.fits.csv
60356.0,13.53236160697487,0.0621644653198504,R,photometry_SN2024gy_R_60sec_2_1.fits.csv
60381.0,14.762573840075,0.06002804074188272,R,photometry_SN2024gy_R_1.fits.csv
60381.0,14.7504847188518,0.06002804074188272,R,photometry_SN2024gy_R_1.fits.csv
60409.0,15.67800195186218,0.07299000575649378,R,photometry_AT2024gy_R_01_02_1.fits.csv
60409.0,15.661481834962958,0.07299000575649378,R,photometry_AT2024gy_R_01_02_1.fits.csv
60409.0,15.672085396666207,0.06457433868837772,R,photometry_AT2024gy_R_01_02_2.fits.csv
60409.0,15.659272938055235,0.06457433868837772,R,photometry_AT2024gy_R_01_02_2.fits.csv
60458.0,16.826228609001387,0.050392342053166006,R,photometry_SN2024gy_R_01-02_1.fits.csv
60458.0,17.148103438313413,0.03487334213115852,R,photometry_SN2024gy_R_01-02_2.fits.csv
60458.0,17.08584612367944,0.03487334213115852,R,photometry_SN2024gy_R_01-02_2.fits.csv
60322.0,12.94087996367765,0.07373591770884043,I,photometry_SN2024gy_I_01_02_1.fits.csv
60322.0,12.933438117444624,0.07373591770884043,I,photometry_SN2024gy_I_01_02_1.fits.csv
60322.0,12.951839096054993,0.03602013995670201,I,photometry_SN2024gy_I_01_02_2.fits.csv
60322.0,12.946017430797907,0.03602013995670201,I,photometry_SN2024gy_I_01_02_2.fits.csv
60347.0,13.29021602296013,0.03500339005565321,I,photometry_SN2024gy_I_01_02_1.fits.csv
60347.0,13.284117365898272,0.03500339005565321,I,photometry_SN2024gy_I_01_02_1.fits.csv
60347.0,13.284022942547807,0.03500339005565321,I,photometry_SN2024gy_I_01_02_1.fits.csv
60347.0,13.30358267984843,0.09873201419412735,I,photometry_SN2024gy_I_01_02_2.fits.csv
60347.0,13.298360567505215,0.09873201419412735,I,photometry_SN2024gy_I_01_02_2.fits.csv
60347.0,13.296176060421894,0.09873201419412735,I,photometry_SN2024gy_I_01_02_2.fits.csv
60356.0,13.173853194978065,0.06002654771283367,I,photometry_SN2024gy_I_60sec_2_2.fits.csv
60356.0,13.17998076798464,0.06002654771283367,I,photometry_SN2024gy_I_60sec_2_2.fits.csv
60356.0,13.163188835500637,0.06501337499112177,I,photometry_SN2024gy_I_60sec_2_1.fits.csv
60356.0,13.169091339333981,0.06501337499112177,I,photometry_SN2024gy_I_60sec_2_1.fits.csv
60381.0,14.564674252243435,0.0659500737575921,I,photometry_SN2024gy_I_1.fits.csv
60381.0,14.548033749421384,0.0659500737575921,I,photometry_SN2024gy_I_1.fits.csv
60409.0,15.75390507118812,0.06732537148605779,I,photometry_AT2024gy_I_01_02_1.fits.csv
60409.0,15.662100684584209,0.06732537148605779,I,photometry_AT2024gy_I_01_02_1.fits.csv
60409.0,15.708705693468513,0.06307344296192177,I,photometry_AT2024gy_I_01_02_2.fits.csv
60409.0,15.630392546684027,0.06307344296192177,I,photometry_AT2024gy_I_01_02_2.fits.csv
60458.0,17.337534450748926,0.0612678288502943,I,photometry_SN2024gy_I_01-02_1.fits.csv
60458.0,17.1067022063638,0.0612678288502943,I,photometry_SN2024gy_I_01-02_1.fits.csv
60458.0,17.270013529232084,0.04376974406180221,I,photometry_SN2024gy_I_01-02_2.fits.csv
60458.0,17.031354299900507,0.04376974406180221,I,photometry_SN2024gy_I_01-02_2.fits.csv
